Mã KH,Tên KH,Địa chỉ,Địa Bàn,Mã Số Thuế,Mã Nhóm,Đối Tác,Số ĐT
BKDUCDUY,Nhà thuốc Đức Duy,"Tổ 8A, phường Phùng Chí Kiên, tp Bắc Cạn, tỉnh Bắc Cạn","Kiên, tp Bắc Cạn",,04KVBACKAN,Đàm Thị Nết,0964553518
CDHOANGDAO,Quầy thuốc Hoàng Thị Đào,"Tổ 1, TT Bằng Lũng, huyện Chợ Đồn, tỉnh Bắc Cạn","Lũng, huyện Chợ Đồn",,04KVBACKAN,Hoàng Thị Đào,0986033752
CMHANHAI,Quầy thuốc Hà Nhài,"Nà Cà 1, xã Cao Kỳ, huyện Chợ Mới, tỉnh Bắc Cạn","Kỳ, huyện Chợ Mới",,04KVBACKAN,Hà Thị Nhài,0964363282
CMNONGLUYEN,Quầy thuốc Nông Thị Luyến,"Cốc Po, xã Thanh Thịnh, huyện Chợ Mới, tỉnh Bắc Kạn","Thịnh, huyện Chợ Mới",,04KVBACKAN,Nông Thị Luyến,0978452426
NSPHUNGVAN,Nhà thuốc số 5 - Phùng Thị Vân,"Khu Phố xã Vân Tùng, huyện Ngân Sơn, tỉnh Bắc Cạn","Tùng, huyện Ngân Sơn",,04KVBACKAN,Phùng Thị Vân,0867769626
BBTIENMANH,Quầy thuốc tân dược Tiến Mạnh,"tiểu khu 2, TT Chợ Rã, huyện Ba Bể, tỉnh Bắc Kạn","Rã, huyện Ba Bể",,04KVBACKAN,Liêu Thị Tuyên,0375403199
BKTHUVAN,Nhà thuốc Thu Vân,"tổ 3 phường Xuất Hóa, tp Bắc Cạn, tỉnh Bắc Cạn","Hóa, tp Bắc Cạn",,04KVBACKAN,Lường Thị Thu Vân,0867115572
BKNTSO7,Nhà thuốc số 7,"Tổ 10, phường Nguyễn Thị Minh Khai, TP Bắc Cạn, tỉnh Bắc Cạn",TP Bắc Cạn,,04KVBACKAN,Hoàng Thị Hiền,0978586533
BKNTSO15,Nhà thuốc số 15,"Tổ 11B, P Sông Cầu TP Bắc Cạn, tỉnh Bắc Cạn",TP Bắc Cạn,,04KVBACKAN,Lê Diệu Thắm,0383081111
BKHONGNGOC,Nhà thuốc Hồng Ngọc,"Số 63 tổ 13 p Đức Xuân, TP Bắc Cạn, tỉnh Bắc Cạn",TP Bắc Cạn,,04KVBACKAN,Đàm Thị Mỹ Hạnh,0857729686
BCNTSO5,Nhà thuốc số 5,"Tổ 3 p Đức Xuân, TP Bắc Cạn, tỉnh Bắc Cạn",TP Bắc Cạn,,04KVBACKAN,Trương Thị Kim Nhung,0967712599
BKLINHGIANG,Nhà thuốc Linh Giang,"Tổ 10a, phường Đức Xuân, thành phố Bắc Kạn, tỉnh Bắc Kạn","Xuân, thành phố Bắc Kạn",,04KVBACKAN,Nguyễn Thị Thắm,0393980738
BKNGUYENBINH,Nhà thuốc Nguyên Bình,"Tổ 7, phường Nguyễn Thị Minh Khai, thành phố Bắc Kạn, tỉnh Bắc Kạn","Khai, thành phố Bắc Kạn",,04KVBACKAN,DS Chuyên,0978523759
BKTANMINH,Nhà thuốc Tân Minh,"Tổ 3, phường Nguyễn Thị Minh Khai, thành phố Bắc Kạn, tỉnh Bắc Kạn","Khai, thành phố Bắc Kạn",,04KVBACKAN,Phạm Ngọc Tân,0979985129
BKHIENHA,Nhà thuốc Hiến Hà,"SN 150 tổ 2 phường Sông Cầu, thành phố Bắc Kạn, tỉnh Bắc Kạn","Cầu, thành phố Bắc Kạn",,04KVBACKAN,Thân Thị Huyền,0362588688
BKHONGNHUNG,Nhà thuốc Hồng Nhung,"Số 154, tổ 8a, phường Phùng Chí Kiên, tp Bắc Kạn, tỉnh Bắc Kạn","Kiên, tp Bắc Kạn",,04KVBACKAN,DS Nhung,0967071191
BKNAMTUAN,Nhà thuốc Nam Tuấn,"Tổ 12 phường Nguyễn Thị Minh Khai, tp Bắc Kạn, tỉnh Bắc Kạn","Khai, tp Bắc Kạn",,04KVBACKAN,DS Xoan,0971822886
BTBACHOA,Nhà thuốc Bắc Hòa,"Phố Ngã Ba, thị trấn Phủ Thông, huyện Bạch Thông, tỉnh Bắc Cạn","Thông, huyện Bạch Thông",,04KVBACKAN,Lưu Đình Bắc,0984898779
CDBELE,Quầy thuốc Bế Ngọc Lệ,"Thôn Nà Quân, xã Phương Viên, huyện Chợ Đồn, tỉnh Bắc Cạn","Viên, huyện Chợ Đồn",,04KVBACKAN,Bế Ngọc Lệ,0379339868
CSTRIEUNGHIEP,Quầy thuốc Triệu Thị Nghiệp,"Chợ Phương Viên, xã Phương Viên, huyện Chợ Đồn, tỉnh Bắc Cạn","Viên, huyện Chợ Đồn",,04KVBACKAN,Triệu Thị Nghiệp,0989115902
CĐXUANTHU,Quầy thuốc Xuân Thu,"TT Bằng Lũng, huyện Chợ Đồn, tỉnh Bắc Kạn","Lũng, huyện Chợ Đồn",,04KVBACKAN,Nguyễn Thị Xuân Thu,0977242868
BKPHUCTHINH,Nhà thuốc Phúc Thịnh,"Nhà 475 kon Tum, tổ 11C, phường Đức Xuân, tp Bắc Kạn, tỉnh Bắc Kạn","Xuân, tp Bắc Kạn",,04KVBACKAN,DS Thoa (Hóa đơn Nt Phúc An),0974825446
CDBICHCUONG,Quầy thuốc Bích Cường,"Tổ 1 Đồng Sơn, TT Bằng Lũng, huyện Chợ Đồn, tỉnh Bắc Kạn","Lũng, huyện Chợ Đồn",,04KVBACKAN,Hoàng Thị Bích,0977651550
CDGIAHAN,Quầy thuốc Gia Hân,"thôn Bản Cáu, xã Đồng Thắng, huyện Chợ Đồn, tỉnh Bắc Kạn","Thắng, huyện Chợ Đồn",,04KVBACKAN,Chu Thị Dinh,0976050395
CDNGOCTHU,Quầy thuốc Ngọc Thu,"tổ 7, thị trấn Bằng Lũng, huyện Chợ Đồn, tỉnh Bắc Kạn","Lũng, huyện Chợ Đồn",,04KVBACKAN,Lăng Thị Phương Thu,0977252502
BKNTSO6,Nhà thuốc số 6,"Tổ 9B, phường Đức Xuân,tp Bắc Cạn, tỉnh Bắc Cạn","Xuân,tp Bắc Cạn",,04KVBACKAN,Nguyễn Thị Phương,0962129868
BKMINHHUY,Nhà thuốc Minh Huy,"tổ 11A, phường Đức Xuân, tp Bắc Cạn, tỉnh Bắc Cạn","Xuân, tp Bắc Cạn",,04KVBACKAN,Trần Thị Thu Hương,0912762412
BKMINHDUC,Nhà thuốc Minh Đức,"144 tổ 10A , phường Phùng Chí Kiên, TP Bắc Kạn, tỉnh Bắc Kạn",TP Bắc Kạn,,04KVBACKAN,Nguyễn Thị Thoa,0974 825 446
NRQT168,Quầy thuốc số 168,"TT Yến Lạc, huyện Na Rì, tỉnh Bắc Kạn","Lạc, huyện Na Rì",,04KVBACKAN,Lèo Thị Biên,0978 733 384
BKTHUONG,Nhà thuốc Thương Pharmacy,"SN 6, tổ 7, phường Sông Cầu, TP Bắc Cạn, tỉnh Bắc Cạn",TP Bắc Cạn,,04KVBACKAN,Hoàng Thị Thương,0985681994
NRBSHAI,Phòng khám bác sĩ Khải,"Chợ xã Côn Minh, huyện Na Rì, tỉnh Bắc Kạn","Minh, huyện Na Rì",,04KVBACKAN,,0379 324 847
BKTAMKHANG,Quầy thuốc Tâm Khang,"Nà Hoan, xã Tân Tú, huyện Bạch Thông, tỉnh Bắc Cạn","Tú, huyện Bạch Thông",,04KVBACKAN,Vi Thị Hiệp,0378876884
BTHUAMANH,Quầy thuốc số 10,"Phố Chính, thị trấn Phú Thông, huyện Bạch Thông, tỉnh Bắc Cạn","Thông, huyện Bạch Thông",,04KVBACKAN,Hứa Văn Mạnh,0966607691
BKTHUTRANG,Nhà thuốc Thu Trang,"223 tổ 6 phường Đức Xuân, thành phố Bắc Kạn, tỉnh Bắc Kạn","Xuân, thành phố Bắc Kạn",,04KVBACKAN,DS Thu Trang,0983110176
CMHOATHUYEN,Quầy thuốc Hoạt Huyền,"Tổ 5, TT Chợ Mới, huyện Chợ Mới, tỉnh Bắc Cạn","Mới, huyện Chợ Mới",,04KVBACKAN,Vũ Thị Hồng Dung,0983289113
CMNTSO8,Nhà thuốc số 8,"Tổ 7, TT Chợ Mới, huyện Chợ Mới, tỉnh Bắc Cạn","Mới, huyện Chợ Mới",,04KVBACKAN,Vương Thị Quyết,0948572233
BKMINHTAN,Nhà thuốc Minh Tân 1,"SN 269 tổ 6, phường Nguyễn Thị Minh Khai, thành phố Bắc Kạn, tỉnh Bắc Kạn","Khai, thành phố Bắc Kạn",,04KVBACKAN,Lương Đức Hoan,0834139368
BGHIEPHUONG,Quầy thuốc Hiệp Hương,"38 Trần Hưng Đạo, TT Kẻ Sặt, huyện Bình Giang, tỉnh Hải Dương","Sặt, huyện Bình Giang",,04KVBINHGIANG,Phạm Thị Hương,0973912024
BGLAMQUANG,Quầy thuốc Lâm Quang,"Thôn Cư, xã Thái Dương huyện Bình Giang, tỉnh Hải Dương",Dương huyện Bình Giang,,04KVBINHGIANG,DS Phượng,0965134915
BGVUONG,Quầy thuốc Đại Lý,"Hà Tiên, xã Thái Dương,, Bình Giang, HD","Thái Dương,, Bình Giang",,04KVBINHGIANG,Đặng Thị Thụy Vượng,0353513757
BGXUANNGHI,Quầy thuốc Xuân Nghị,"Kẻ Sặt, huyện Bình Giang, tỉnh Hải Dương","Sặt, huyện Bình Giang",,04KVBINHGIANG,Nguyễn Thị Xuân,0972 061 707
BGHATHANH,Quầy thuốc Hà Thanh,"Khu Quán Gỏi, xã Hưng Thịnh, huyện Bình Giang, tỉnh Hải Dương","Thịnh, huyện Bình Giang",,04KVBINHGIANG,Lê Hữu Thanh,0979 041 822
BGHANG,Quầy thuốc Thu Hằng,"Phú Thuận, Hồng Khê, Bình Giang, Hải Dương","Khê, Bình Giang",,04KVBINHGIANG,Nguyễn Thị Hằng,0979 654 395
BGTRINH,Quầy thuốc tân dược - Phạm Thị Chinh,"Bằng Giã, xã Tân Việt, h.Bình Giang, Hải Dương","Việt, h.Bình Giang",,04KVBINHGIANG,Phạm Thị Chinh,0338 440 116
BGTHUGANG,Quầy thuốc Thu Găng,"12b Trần Hưng Đạo, TT Kẻ Sặt, Bình Giang, HD","Kẻ Sặt, Bình Giang",,04KVBINHGIANG,Vũ Thị Thu Găng,0987 564 506
BGQT19,Quầy thuốc 19 (Nhữ Trường An),"Nhữ Thị, Thái Hòa, Bình Giang, Hải Dương","Hòa, Bình Giang",0962 928 699,04KVBINHGIANG,Nhữ Văn Thạo,0962 928 099
BGBAOTRAM,Quầy thuốc Bảo Trâm,"Chợ Cậy , Bình Giang - HD",Chợ Cậy ,,04KVBINHGIANG,Nguyễn Thị Uyển,0985 880 550
BGPHAMANH,Quầy thuốc tân dược Phạm Thị Anh,"Chợ Ngọc Cục, xã Thúc Kháng, huyện Bình Giang, tỉnh Hải Dương","Kháng, huyện Bình Giang",,04KVBINHGIANG,Phạm Thị Anh,0975659120
BGPHKESAT,Phòng khám đa khoa Kẻ Sặt,"296b Trần Hưng Đạo, TT Kẻ Sặt, huyện Bình Giang, tỉnh Hải Dương","Sặt, huyện Bình Giang",,04KVBINHGIANG,Bs Hằng,0965343897
BGPKTHNAGLONG,Phòng khám đa khoa Thăng Long,"Thôn Cậy, xã Long Xuyên, huyện Bình Giang, tỉnh Hải Dương","Xuyên, huyện Bình Giang",,04KVBINHGIANG,Bs Dương,0352265115
BGPKTYTCOBI,Quầy thuốc TYT Cổ Bì,"TYT Cổ Bì, xã Cổ Bì, huyện Bình Giang, tỉnh Hải Dương","Bì, huyện Bình Giang",,04KVBINHGIANG,Ds Thường,0975283830
BGBAOBINH,Quầy thuốc Bảo Bình,"Thôn Nhân Kiệt, xã Hùng Thắng, huyện Bình Giang, tỉnh Hải Dương","Thắng, huyện Bình Giang",,04KVBINHGIANG,Đào Đình Nghị,0972061707
BG.LANANH,Quầy thuốc Lan Anh,"Ngã 5 mới TT Kẻ Sặt, huyện Bình Giang, tỉnh Hải Dương","Sặt, huyện Bình Giang",,04KVBINHGIANG,Lê Thị Lan Anh,0336460980
BGTHANHDONG,Công ty TNHH dược phẩm Thành Đông (PK ở Bình Giang),"106 Bùi Thị Xuân, p Lê Thanh Nghị, tp Hải Dương, tỉnh Hải Dương","Nghị, tp Hải Dương",0800280758,04KVBINHGIANG,Nguyễn Văn Bình,0986795210
BGQT13,Quầy thuốc số 13,"Tân Hồng, Bình Giang, Hải Dương","Hồng, Bình Giang",,04KVBINHGIANG,Nguyễn Thị Duyên,0986147360
BGPHUONGKHUE,Quầy thuốc Phương Khuể,"Hà Chợ, xã Thái Bình, huyện Bình Giang, tỉnh Hải DƯơng","Bình, huyện Bình Giang",,04KVBINHGIANG,,
BGQTSO3,Quầy thuốc Bình Minh,"Xóm Mới, Bình Xuyên, Bình Giang, HD","Bình Xuyên, Bình Giang",,04KVBINHGIANG,Nguyễn Văn Bình,0983376815
BGOANHDUC,Quầy thuốc Oanh Đức,"Xóm Bưu Điện, xã Thái Minh, huyện Bình Giang, tỉnh Hải Dương","Minh, huyện Bình Giang",,04KVBINHGIANG,Nguyễn Thị Mai Oanh,0384799626
BGMINHTAM,Quầy thuốc Minh Tâm,"Ngã 3 Mới Cậy, Long Xuyên, Bình Giang, Hải Dương","Xuyên, Bình Giang",,04KVBINHGIANG,Vũ Thị Tâm,0964 909 466
BGNGUYENCAT,Quầy thuốc Nguyễn Cát,"Thôn Nhữ Thị, xã Thái Hòa, huyện Bình Giang, tỉnh Hải Dương","Hòa, huyện Bình Giang",,04KVBINHGIANG,Nguyễn Văn Cát,0986 689 436
BGHOANGDAM,Quầy thuốc Hoàng Đạm,"Chợ Phủ, xã Thái Học, huyện Bình Giang, tỉnh Hải Dương","Học, huyện Bình Giang",,04KVBINHGIANG,Vũ Đình Đạm,0964 676 066
BGTHUHUYEN,Nhà thuốc Thu Huyền,"Phố Cậy, xã Long Xuyên, huyện Bình Giang, tỉnh Hải Dương","Xuyên, huyện Bình Giang",,04KVBINHGIANG,Nguyễn Thị Huyền,0794476608
BGVUCUONG,Quầy thuốc Vũ Gia Cương,"Trung tâm xã Cổ Bì, huyện Bình Giang, tỉnh Hải Dương","Bì, huyện Bình Giang",,04KVBINHGIANG,Vũ Gia Cương,0977902304
BGBAONGUYEN,Quầy thuốc Bảo Nguyên,"252B Trần Hưng Đạo, TT Kẻ Sặt, Bình Giang, Hải Dương","Sặt, Bình Giang",,04KVBINHGIANG,Phạm Thị Trang Nguyên,0918288062
BGPHONGLAN,Quầy thuốc Ngọc Hân,"Đường 392 My Cầu, xã Tân Hồng, huyện Bình Giang, tỉnh Hải Dương","Hồng, huyện Bình Giang",,04KVBINHGIANG,Vũ Thị Mai Ly,0963890872
BGHAHANG,Quầy thuốc Hà Hằng,"Thôn Hòa Ché, xã Hùng Thắng, huyện Bình Giang, tỉnh Hải Dương","Thắng, huyện Bình Giang",,04KVBINHGIANG,Hà Thị Hằng,0967275326
BGTHUHIEN,Quầy thuốc Thu Hiền,"Phố Cậy, xã Long Xuyên, huyện Bình Giang, tỉnh Hải Dương","Xuyên, huyện Bình Giang",,04KVBINHGIANG,Nguyễn Thị Hiền,0794476608
BGTUHUE,Quầy thuốc Tú Huệ,"Ngọc Cục, xã Thúc Kháng, huyện Bình Giang, tỉnh Hải Dương","Kháng, huyện Bình Giang",,04KVBINHGIANG,Mai Thị Thanh Huệ,0332668839
BGCONGMINH,Quầy thuốc Công Minh,"xã Bá Đông huyện Bình Giang, tỉnh Hải Dương",Đông huyện Bình Giang,,04KVBINHGIANG,Phạm Thị Nết,0984348499
BGTHIENTHU,Nt pk Thiện Thu,"Thôn Lý Đỏ, xã Tân Việt, huyện Bình Giang, tỉnh Hải Dương","Việt, huyện Bình Giang",,04KVBINHGIANG,Nguyễn Thị Thu,0369917674
BGVIETDUC,Quầy thuốc Việt Đức 01,"Thôn Hà Đông, xã Thái Dương, huyện Bình Giang, tỉnh Hải Dương","Dương, huyện Bình Giang",,04KVBINHGIANG,Trịnh Văn Hinh,0352532899
BGLINHTHUY,Quầy thuốc Linh Thúy,"Số 25 Lạc Long Quân, Khu Thượng, xã Tráng Liệt, huyện Bình Giang, tỉnh Hải Dương","Liệt, huyện Bình Giang",,04KVBINHGIANG,Phạm Thị Thúy,033 612 2368
BGHOANGDIEP,Quầy thuốc Hoàng Diệp,"23 đường Điện Biên, TT kẻ Sặt, huyện Bình Giang, tỉnh Hải Dương","Sặt, huyện Bình Giang",,04KVBINHGIANG,Nguyễn Thị Hoài,0962 640 226
BGPHUONGQUYEN,Quầy thuốc Phương Quyên,"Bình Giang, Hải Dương",,,04KVBINHGIANG,Hà Thị Quyên,0972 056 052
BGQTSO6,Quầy thuốc số 6,"Chợ Tranh, huyện Bình Giang, tỉnh Hải Dương","Tranh, huyện Bình Giang",,04KVBINHGIANG,Nguyễn Quang Huy,0372671978
BGHONGGIAO,Quầy thuốc Hồng Giao,"Thôn Phủ, xã Thái Ngọc, huyện Bình Giang, tỉnh Hải Dương","Ngọc, huyện Bình Giang",,04KVBINHGIANG,Nguyễn Thị ánh Hồng,0979654678
BGMINHSON,Quầy thuốc Minh Sơn,"Thôn Tân Hưng, xã Tân Việt, h.Bình Giang, Hải Dương","Việt, h.Bình Giang",,04KVBINHGIANG,Phạm Thùy Minh,0982163218
BGTINPHAT,Nhà thuốc Tín Phát,"Ngã ba Cậy, xã Long Xuyên huyện Bình Giang, tỉnh Hải Dương",Xuyên huyện Bình Giang,,04KVBINHGIANG,Nguyễn Thị Cảnh,0936677148
NTTHUHIEN,Nhà Thuốc Thu Hiền,"Chợ Phủ, xã Thái Học huyện Bình Giang, tỉnh Hải Dương",Học huyện Bình Giang,,04KVBINHGIANG,Đỗ Thị Thu Hiền,0985835638
BGPKTHANHBINH,Phòng khám Thanh Bình,"Vạn Xuân, TT Kẻ Sặt, huyện Bình Giang, tỉnh Hải Dương",Bình Giang,,04KVBINHGIANG,Vũ Công Tĩnh,
BGPKVIETDUC,Phòng khám Việt Đức,"Thôn Thị Tranh, xã Thúc Kháng, huyện Bình Giang, tỉnh Hải Dương","Kháng, huyện Bình Giang",,04KVBINHGIANG,Vũ Hữu Tin,0346574444
BGMINHDUONG,Quầy thuốc Minh Dương,"Hà Chợ, xã Thái Bình, huyện Bình Giang, tỉnh Hải DƯơng","Bình, huyện Bình Giang",,04KVBINHGIANG,Như Đình Cù,0972856745
BGBUIHIEN,Quầy thuốc Bùi Hiền,"Bùi Xá, Nhân Quyền, Bình Giang, Hải Dương","Quyền, Bình Giang",,04KVBINHGIANG,Bùi Thị Thu Hiền,0976699842
BGTHONGHIEN,Quầy thuốc Thông Hiến,"Thôn Sồi Cầu, xã Thái Học, huyện Bình Giang, tỉnh Hải Dương","Học, huyện Bình Giang",,04KVBINHGIANG,,0385 293 234
BGHIEULUYEN,Quầy thuốc Hiệu Luyến,"Mỹ Cầu, xã Tân Hồng, huyện Bình Giang, tỉnh Hải Dương","Hồng, huyện Bình Giang",,04KVBINHGIANG,Vũ Thị Luyến,0866 751 170
BGANBAO,Quầy thuốc An Bảo,"Thôn Thượng Khuông, xã Vĩnh Hưng, huyện Bình Giang, tỉnh Hải Dương","Hưng, huyện Bình Giang",,04KVBINHGIANG,Phạm Thị Nhung,0973 698 085
BGPHUONGKLHOA,Quầy thuốc Phương Khoa,"Dương Xá, xã Nhân Quyền, huyện Bình Giang, tỉnh Hải Dương","Quyền, huyện Bình Giang",,04KVBINHGIANG,Lê Thị Thu Phương,0399 918 010
BGKHANHHIEN,Quầy thuốc Khánh Hiên,"Thôn Phục Lễ, xã Vĩnh Hồng, huyện Bình Giang, tỉnh Hải Dương","Hồng, huyện Bình Giang",,04KVBINHGIANG,Nguyễn Gia Khánh,0393 678 693
BGTHUHONG,Quầy thuốc Thu Hồng,"Thôn Ngọc Tân, xã Thúc Kháng, huyện Bình Giang, tỉnh Hải Dương","Kháng, huyện Bình Giang",,04KVBINHGIANG,Vũ Thị Hồng,0328879297
BGNGOCANH,Quầy thuốc Ngọc Anh,"Thôn Cao Xá, xã Thái Hòa, huyện Bình Giang, tỉnh Hải Dương","Hòa, huyện Bình Giang",,04KVBINHGIANG,Cao Thị Thu,0349645327
BGQTSO18,Quầy thuốc số 18,"Thôn Hòa Loan, xã Nhân Quyền, huyện Bình Giang, tỉnh Hải Dương","Quyền, huyện Bình Giang",,04KVBINHGIANG,Nguyễn Thị Lan,0983026360
BG.HOANGDUNG,Quầy thuốc Phương Dung,"Ngã 3 Cậy, xã Long Xuyên, huyện Bình Giang, tỉnh Hải Dương","Xuyên, huyện Bình Giang",,04KVBINHGIANG,Hoàng Dung,0763 378 844
BGKHANHNGAN,Quầy thuốc Khánh Ngân,"Bùi Xá, Nhân Quyền, Bình Giang, Hải Dương","Quyền, Bình Giang",,04KVBINHGIANG,Phạm Thị Khánh,0983224557
BGLAMSON,Quầy thuốc Lam Sơn,"Khu trung tâm xã Cổ Bì, h.Bình Giang, Hải Dương","Bì, h.Bình Giang",,04KVBINHGIANG,Đào Thị Yến,0987082350
BGPHUONGTHUY,Quầy thuốc Phương Thúy,"Thôn Bùi Xá, xã Nhân Quyền, huyện Bình Giang, tỉnh Hải Dương","Quyền, huyện Bình Giang",,04KVBINHGIANG,Trần Thị Thúy,0345299725
BGQTSO7,Quầy thuốc số 7,"dường Thanh Niên, TT Kẻ Sặt, huyện Bình Giang, tỉnh Hải Dương","Sặt, huyện Bình Giang",,04KVBINHGIANG,Đào Kim Ngân,0912524734
BGPHUONGCHI,Quầy thuốc Phương Chi,"Khu Hạ, xã Tráng Liệt, huyện Bình Giang, tỉnh Hải Dương","Liệt, huyện Bình Giang",,04KVBINHGIANG,Nguyễn Chí Quyết,0912421886
BGNGUYENDUONG,Quầy thuốc Trung Tâm,"50 Phạm Ngũ Lão, TT Kẻ Sặt, huyện Bình Giang, tỉnh Hải Dương","Sặt, huyện Bình Giang",,04KVBINHGIANG,Nguyễn Thị Thùy Dương,0368726940
BGMINHTHU,Nhà thuốc Minh Thư,"Lạc Long, TT Kẻ Sặt, huyện Bình Giang, tỉnh Hải Dương","Sặt, huyện Bình Giang",,04KVBINHGIANG,Ds Tuyền,0368270184
BGANHDUC,Quầy thuốc Đức Anh,"Thôn My Thữ, xã Vĩnh Hồng, huyện Bình Giang, tỉnh Hải Dương","Hồng, huyện Bình Giang",,04KVBINHGIANG,Huỳnh Thị Anh,0989084651
BGTRUNGTAM,Quầy thuốc Trung Tâm,"Đối diện ủy ban xã Vĩnh Hồng, huyện Bình Giang, tỉnh Hải Dương","Hồng, huyện Bình Giang",,04KVBINHGIANG,Vũ Xuân Tiến,0987796280
BGDANGXINH,Quầy thuốc Dáng Xinh,"Quán Gỏi, xã Vĩnh Hưng, huyện Bình Giang, tỉnh Hải Dương","Hưng, huyện Bình Giang",,04KVBINHGIANG,Trần Thị Dáng Xinh,0367379284
BGGIHAN,Quầy thuốc Gia Hân,"Mộ Trạch, xã Tân Hồng, huyện Bình Giang, tỉnh Hải Dương","Hồng, huyện Bình Giang",,04KVBINHGIANG,Bùi Thị Hân,0975233562
BGBSMINH,Phòng khám Bác Sĩ Minh,"Ngã 3 Phủ, Thái Học, huyện Bình Giang, tỉnh Hải Dương","Học, huyện Bình Giang",,04KVBINHGIANG,Trần Văn Minh,0387842456
BGTHôANH,Quầy thuốc Thọ Oanh,"Tân Hưng, xã Tân Việt, huyện Bình Giang, tỉnh Hải Dương","Việt, huyện Bình Giang",,04KVBINHGIANG,Lê Thị Oanh,0963239660
BLHUONGDUONG,Nhà thuốc Hương Dương,"Khu 1 Bình Công, Thị trấn Bình Liêu, H Bình Liêu, Quảng Ninh",H Bình Liêu,,04KVBLQN,Hoàng Xuân Dương,0915 049 232
BLHATHU,Quầy Thuốc Hà Thu,"Cửa khẩu Hoành Mô, xã Hoành Mô, huyện Bình Liêu, tỉnh Quảng Ninh","Mô, huyện Bình Liêu",0374974119,04KVBLQN,Ds.Hà Thị Thu,0356665889
BLVIETDUNG,Quầy thuốc Việt Dung,"Khu Bình Quyền, TT Bình Liêu, huyện Bình Liêu, tỉnh Quảng Ninh","Liêu, huyện Bình Liêu",,04KVBLQN,Lý Thị Dung,0946 541 055
BLNTBINHSUU,Nhà Thuốc Bình Sừu (Qt 86),"Khu Bình Công 2, TT Bình Liêu, huyện Bình Liêu, tỉnh Quảng Ninh","Liêu, huyện Bình Liêu",0944066280 (C Bình,04KVBLQN,Hoàng Thị Bình,091 2679878
BLTUNGKHANG,Quầy thuốc Tùng Khang,"Cửa khẩu Hoành Mô, xã Hoành Mô, huyện Bình Liêu, tỉnh Quảng Ninh","Mô, huyện Bình Liêu",,04KVBLQN,Lý Quý Khang,0914881119
BLLYLUU,Quầy thuốc Lý Lưu,"Cửa khẩu Hoành Mô, H Bình Liêu, Quảng Ninh",H Bình Liêu,,04KVBLQN,Lý Đức Lưu,0399298307
BLLAIHANH,Nhà thuốc Lài Hạnh(Qt130 Bình Liêu),"khu Bình Quyền, thị trấn Bình Liêu huyện Bình Liên, Quảng Ninh",Liêu huyện Bình Liên,,04KVBLQN,Lài Thị Hạnh,098 7254927
BLTRANTHAO,Quầy thuốc Trần Thảo,"Khu Bình An, TT Bình Liêu, huyện Bình Liêu, tỉnh Quảng Ninh","Liêu, huyện Bình Liêu",,04KVBLQN,Trần Thị Thảo,0396774578
CGCAMGIANG,CN Công ty CP Dược VTYT Hải Dương tại Cẩm Giàng,"Thị trấn Ghẽ, Tân Trường, Cẩm Giàng, Hải Dương","Trường, Cẩm Giàng",0800011018014,04KVCAMGIANG,,
CGQUANGVINH,Quầy thuốc Quang Vinh,"Thôn Mỹ Vọng, xã Ngọc Liên, huyện Cẩm Giàng, tỉnh Hải Dương","Liên, huyện Cẩm Giàng",,04KVCAMGIANG,Nguyễn Thị Thúy Đạt,0949 458 162
CGMANHCHAU,Quầy thuốc Mạnh Châu,"Tân Trường, Cẩm Giàng, Hải Dương","Trường, Cẩm Giàng",,04KVCAMGIANG,Lê Thị Châu,0979 670 423
CGMAI,Quầy thuốc 38,"Phú An, Cao An, Cẩm Giàng, Hải Dương","An, Cẩm Giàng",,04KVCAMGIANG,Nguyễn Thị Mai,0778164529
CGDU,Quầy thuốc Đức Đủ,"Thôn Đông Giao, Lương Điền, Cẩm Giàng, Hải Dương","Điền, Cẩm Giàng",,04KVCAMGIANG,Vũ Thị Đủ,0979290521
CGTUANTHUY,Quầy thuốc Tuấn Thùy,"Thôn Phúc A, xã Cẩm Phúc, huyện Cẩm Giàng, tỉnh Hải Dương",Cẩm Giàng,,04KVCAMGIANG,Nguyễn Thị Thùy,0962 082 968
CGHUONG,Quầy thuốc Anh Hương,"Lê Xá, Cẩm Phúc, Cẩm Giàng, Hải Dương","Phúc, Cẩm Giàng",,04KVCAMGIANG,Nguyễn Thị Hương,0344 271 398
CGTHHOA,Quầy thuốc Thanh Hoa,"Cao Xá, Cao An, Cẩm Giàng, Hải Dương","An, Cẩm Giàng",,04KVCAMGIANG,Dương Thị Nhung,0936 393 886
CGTIENHOA,Quầy thuốc Tiến Hoa,"Thôn Thượng, Xã Cẩm Đông, Huyện Cẩm Giàng, HD","Đông, Huyện Cẩm Giàng",,04KVCAMGIANG,Trần Thị Hoa,0986703960
CGQT36,Quầy thuốc số 36,"Chợ Phí, Cẩm Hoàng, Cẩm Giàng, Hải Dương","Hoàng, Cẩm Giàng",,04KVCAMGIANG,Vương Thị Thanh,0388 535 448
CGQT47,Quầy thuốc số 47 - Thành Đạt,"Đỗi 3 Quý Dương, xã tân Trường, Cẩm Giàng, Hải Dương","Trường, Cẩm Giàng",,04KVCAMGIANG,Nguyễn Thị Mỹ Duyên,0989 330 015
